smiles,ic50_nM,active,MolWt,HeavyAtomCount,NumHeteroatoms,LogP,TPSA,HBD,HBA,RB,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,QED
C=CC(=O)N1CC[C@H](Oc2nc(-c3n[nH]c(=O)[nH]3)cc3ccccc23)C1,5.012e-09,1,351.3660000000001,26,8,1.4788999999999992,103.97,2,5,4,0.2222222222222222,4,3,1,1,0.6930199883756707
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0.002,1,499.6190000000003,37,9,4.509800000000003,87.55,2,8,10,0.25,4,4,0,0,0.3105348061023151
Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,0.003,1,350.21900000000005,22,4,5.289100000000002,37.81,1,3,2,0.0,4,4,0,0,0.49938282866401273
CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.006,1,344.216,21,6,3.5969000000000015,53.94,1,5,3,0.13333333333333333,3,3,0,0,0.7868681517234083
CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,0.006,1,388.26500000000016,24,6,4.933300000000004,56.27000000000001,1,5,6,0.2222222222222222,3,3,0,0,0.6488237627148066
Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,0.008,1,340.184,21,6,4.012200000000001,66.49000000000001,2,4,2,0.0,4,4,0,0,0.5785608229687813
CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.008,1,330.189,20,6,3.572600000000002,62.730000000000004,2,5,3,0.07142857142857142,3,3,0,0,0.7686164717854101
COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2c[nH]c3ccccc23)n1,0.008,1,562.6740000000002,42,9,6.126700000000006,95.61,2,8,8,0.24242424242424243,6,5,1,1,0.17238456066806768
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,0.01,1,485.94700000000023,34,10,4.389900000000002,88.61000000000001,2,7,8,0.2916666666666667,4,3,1,1,0.45729335341237065
Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,0.01,1,354.211,22,6,4.0226000000000015,55.63,1,5,2,0.0625,4,4,0,0,0.5907366330453319
C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0.01,1,585.709,43,11,5.075000000000005,113.85,2,10,12,0.3125,4,4,0,0,0.17365909455648496
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,0.02,1,557.054,40,10,5.932480000000005,112.39999999999999,2,8,11,0.2,4,4,0,0,0.2184754595815899
Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccc(CN3CCN(C)CC3)cc21,0.02,1,542.6880000000002,40,10,3.7749200000000025,91.11999999999999,1,9,2,0.4666666666666667,6,3,3,1,0.5234670292680527
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,0.025,1,360.2110000000001,22,6,4.153100000000003,56.27000000000001,1,5,4,0.125,3,3,0,0,0.7574940736488872
Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,0.025,1,354.21100000000007,22,6,4.022600000000002,55.63,1,5,2,0.0625,4,4,0,0,0.5907366330453317
C=CC(=O)N1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2O[C@H]2CCOC2)CC1,0.027,1,512.9690000000004,36,10,4.889400000000004,85.81,1,7,7,0.34615384615384615,5,3,2,2,0.450993231857692
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0.029,1,393.4430000000002,29,7,3.405100000000002,74.73000000000002,1,7,10,0.2727272727272727,3,3,0,0,0.417884097583987
C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,0.03,1,477.9270000000002,34,9,4.758780000000003,99.07000000000001,3,6,9,0.16,3,3,0,0,0.23334751487785027
C=CC(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,0.037,1,377.2060000000001,25,8,4.943800000000002,66.91,2,4,4,0.0,3,3,0,0,0.49913822071210107
